0x8b0890,Chapter Number Pointer,Object Type,Palette,Tile Configuration,Map,Tile Animation 1,Tile Animation 2,Triggerable Map Changes,Fog of War sight level (0 = No fog),Battle Preparations,Save Menu Chapter Name,Always Zero,Unknown,Unknown,Weather Condition,Battle tileset,Hard Mode Bonus levels (top nibble only),Byte 22,Player Phase music,Enemy Phase music,NPC Phase music,##UNKNOWN##,Player Phase music 2,Enemy Phase music 2,NPC Phase music 2,##UNKNOWN##,Destructible Walls HP,##UNKNOWN##,Byte 62,Byte 63,Byte 64,Byte 65,Byte 66,Byte 67,##UNKNOWN##,Event Data Reference,Worldmap Chapter Prologue Scene,##UNKNOWN##,"Prep Screen Chapter Number (multiply by 2, e.g. Ch 2x = 2.5*2 = 5)",##UNKNOWN##,No. of enemies left for Grasping at Victory,Chapter Title Display Fade-out,Status - Objective Text,Goal Window Text,Goal Window Information,Turns to count down to +1,Protect Character Marker,Tile Marker - X-Coordinate,Tile Marker - Y-Coordinate,##UNKNOWN##
32 Lagdou Ruins 5,0x81c3394,0x6c,0xa3,0x6e,0xb0,0x5,0x0,0xb1,0,0,0x32,0x0,0x1,0x0,0,0xe,0x44,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x19201920000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xb2,0x31,0x0,10,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
33 Lagdou Ruins 6,0x81c3398,0x6c,0xa3,0x6e,0xb3,0x5,0x0,0xb4,0,0,0x33,0x0,0x1,0x0,0,0xe,0x44,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x19301930000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xb5,0x32,0x0,12,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
34 Lagdou Ruins 7,0x81c339c,0x6c,0xa3,0x6e,0xb6,0x5,0x0,0xb7,0,0,0x34,0x0,0x1,0x0,0,0xe,0x44,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x19401940000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xb8,0x33,0x0,14,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
35 Lagdou Ruins 8,0x81c33a0,0x18,0xb9,0x1a,0xba,0x1c,0x0,0xbb,0,0,0x35,0x0,0x1,0x0,0,0xe,0x44,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x19501950000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xbc,0x34,0x0,16,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
36 Lagdou Ruins 9,0x81c33a4,0x50,0x51,0x52,0xbd,0x0,0x54,0xbe,0,0,0x36,0x0,0x1,0x0,0,0x2,0x44,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x19601960000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xbf,0x35,0x0,18,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
37 Lagdou Ruins 10,0x81c33a8,0x6c,0xa3,0x6e,0xc0,0x5,0x0,0xc1,0,0,0x37,0x0,0x1,0x0,0,0xe,0x44,0x2,0x12,0x17,0xf,0xf00170012,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x19701970000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xc2,0x36,0x0,20,0xffff00,1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
38 Lords split up (glitchy map),0x81c33ac,0x1,0x2,0x3,0xc3,0x5,0x0,0xc4,0,0,0x38,0x0,0x1,0x0,0,0xe,0x34,0x2,0x9,0x13,0xf,0xf00130009,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x19801980000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xc5,0x37,0x0,0,0xffff00,0,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
39 Melkaen Coast,0x81c33b0,0x1,0x2,0x3,0xc6,0x5,0x0,0xc7,0,0,0x39,0x0,0x1,0x0,0,0x0,0x34,0x2,0xd,0x15,0xf,0xf0015000d,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x19901990000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xc8,0x38,0x0,0,0xffff00,1,0x0,0x1c0,0x19e,0x1,0,0x0,255,0,0x1d
3A Link Arena,0x81c3380,0x3c,0x68,0x3e,0xc9,0x0,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x34,0x2,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
3B The interesting map...,0x81c33b4,0xe,0xf,0x10,0xca,0x12,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x4,0x34,0x2,0x9,0x13,0xf,0xf00130009,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x42400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xcb,0x0,0x0,0,0xffff00,0,0x0,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
3C Debug map,0x81c33b8,0x1,0x2,0x3,0xcc,0x5,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x4,0x34,0x2,0x9,0x13,0xf,0xf00130009,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x42400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xcd,0x0,0x0,0,0xffff00,0,0x0,0x1c0,0x19e,0x1,0,0x0,255,0,0x9
3D Ch 11 Eirika,0x81c33bc,0x3c,0xce,0x3e,0xcf,0x0,0x0,0xd0,3,0,0x3d,0x0,0x1,0x0,0,0xa,0x34,0x2,0x11,0x18,0xf,0xf00180011,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x19a019a0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xd1,0x39,0x0,22,0xffff00,1,0x0,0x1ae,0x19e,0x1,0,0x0,255,0,0x1a
3E Ch 11 Ephraim,0x81c33c4,0xe,0x72,0x10,0xd2,0xd3,0x0,0xd4,3,0,0x3e,0x0,0x1,0x0,0,0x8,0x34,0x2,0x11,0x18,0xf,0xf00180011,0xffff,0xffff,0xb,0xffffffff,50,0x8080808070707070606060605050505,0x0,0x64,0x0,0x64,0x0,0x64,0x19b019b0000042400000424000004240000042400000028002800280028003c003c003c003c0050005000500050006400,0xd5,0x3a,0x0,50,0xffff00,1,0x1,0x1bc,0x19e,0x1,0,0x0,255,0,0x8
3F Grado castle,0x81c3380,0x1,0x2,0x3,0xd6,0x5,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
40 Renais castle,0x81c3380,0x1,0x2,0x3,0xd7,0x5,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
41 Caer Pelyn,0x81c3380,0x2e,0x34,0x30,0xd8,0x0,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
42 Renais throne,0x81c3380,0x18,0x48,0x1a,0xd9,0x1c,0x0,0xda,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
43 Renais audience,0x81c3380,0x18,0x48,0x1a,0xdb,0x1c,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
44 Renval gate,0x81c3380,0x18,0x19,0x1a,0xdc,0x1c,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
45 Grado borders,0x81c3380,0x1,0x2,0x3,0xdd,0x5,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
46 Grado prison,0x81c3380,0x79,0x7a,0x7b,0xde,0x7d,0x0,0xdf,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
47 Grado shrine (Past),0x81c3380,0x18,0x48,0x1a,0xe0,0x1c,0x0,0xe1,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
48 Renais shrine,0x81c3380,0x18,0x57,0x1a,0xe2,0x1c,0x0,0xe3,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
49 Some path,0x81c3380,0x1,0x2,0x3,0xe4,0x5,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
4A Some building,0x81c3380,0x3c,0x68,0x3e,0xe5,0x0,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
4B Another shrine,0x81c3380,0x79,0xe6,0x7b,0xe7,0x7d,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
4C Another path,0x81c3380,0x1,0x2,0x3,0xe8,0x5,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
4D Grado shrine (Present),0x81c3380,0x79,0x7a,0x7b,0xe9,0x7d,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
4E Ch 5 town (Past),0x81c3380,0xe,0xea,0x10,0xeb,0x12,0x0,0x0,0,0,0x0,0x0,0x1,0x0,0,0x0,0x0,0x0,0xffff,0xffff,0xffff,0xffffffffffff,0xffff,0xffff,0xffff,0xffffffff,50,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc5,0x0,0x0,0,0xffff00,0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0
