INLINE NewItemTable,Name,Description,Use Desc,ID,Type,Ability1,Ability2,Ability3,Ability4,Stat Boosts,Effectiveness,Uses,Mt,Hit,Wt,Crit,Range,Price Per Use,Weapon Level,Icon,Use Effect,Weapon Effect,Weapon EXP,Debuff Type,IER Byte,Item Skill
Iron,IronName,IronDesc,IronDesc,0x60,ItemType,0x00,0x00,0x00,0x00,DEF1|IsPointer,0x00,0x01,2,0,0,0,0x11,9800,0x00,IronIcon,0x15,NoEffect,0,0x00,0x0,0x00
Zinc,ZincName,ZincDesc,ZincDesc,0x61,ItemType,0x00,0x00,0x00,0x00,RES1|IsPointer,0x00,0x01,2,0,0,0,0x11,9800,0x00,ZincIcon,0x16,NoEffect,0,0x00,0x0,0x00
Calcium,CalciumName,CalciumDesc,CalciumDesc,0x62,ItemType,0x00,0x00,0x00,0x00,MAG1|IsPointer,0x00,0x01,2,0,0,0,0x11,9800,0x00,CalciumIcon,0x11,NoEffect,0,0x00,0x0,0x00
ConUp,ConBoosterName,ConBoosterDesc,ConBoosterDesc,0x63,ItemType,Indestructible,0x00,0x00,0x00,HP1|IsPointer,0x00,0x01,2,0,0,0,0x11,9800,0x00,FightingTypeIcon,0x18,NoEffect,0,0x00,0x0,0x00
Moon Stone,MoonStoneName,MoonStoneDesc,MoonStoneDesc,0x64,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,2100,0x00,MoonStoneIcon,0x19,NoEffect,0,0x00,0x0,0x00
Link Stone,LinkStoneName,LinkStoneDesc,LinkStoneDesc,0x65,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,2100,0x00,LinkStoneIcon,0x1a,NoEffect,0,0x00,0x0,0x00
Thunder Stone,ThunderStoneName,ThunderStoneDesc,ThunderStoneDesc,0x66,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,2100,0x00,ThunderStoneIcon,0x1b,NoEffect,0,0x00,0x0,0x00
Leaf Stone,LeafStoneName,LeafStoneDesc,LeafStoneDesc,0x67,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,2100,0x00,LeafStoneIcon,0x1c,NoEffect,0,0x00,0x0,0x00
Water Stone,WaterStoneName,WaterStoneDesc,WaterStoneDesc,0x68,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,2100,0x00,WaterStoneIcon,0x1d,NoEffect,0,0x00,0x0,0x00
Chest Key,0x03E2,0x0491,0x04CF,0x69,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,600,0x00,0x67,0x1e,NoEffect,0,0x00,0x0,0x00
Door Key,0x03E3,0x0492,0x04D0,0x6A,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,100,0x00,0x68,0x1f,NoEffect,0,0x00,0x0,0x00
Lockpick,0x03E4,0x0493,0x04D1,0x6B,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x0F,2,0,0,0,0x11,160,0x00,0x69,0x20,NoEffect,0,0x00,0x0,0x00
Berry,BerryText,BerryDescText,BerryDescText,0x6C,ItemType,0x00,0x00,IsAccessory,0x00,0x00,0x00,0x0A,0xFE,0,0,0,0x00,0,0x00,BerryIcon,0x33,NoEffect,0,0x00,0x08,0x00
Max Potion,MaxPotionText,MaxPotionDescText,MaxPotionDescText,0x6D,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x03,13,0,0,0,0x00,1200,0x00,HyperPotionIcon,0x22,NoEffect,0,0x00,0xF,0x00
Pure Water,0x03E7,0x0496,0x04D4,0x6E,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x03,2,0,0,0,0x11,600,0x00,0x6C,0x23,NoEffect,0,0x00,0x0,0x00
Full Heal,0x03E8,0x0497,0x04D5,0x6F,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x03,2,0,0,0,0x11,300,0x00,0x6D,0x24,NoEffect,0,0x00,0x0,0x00
Torch,0x03E9,0x0498,0x04D6,0x70,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x05,2,0,0,0,0x11,200,0x00,0x6E,0x25,NoEffect,0,0x00,0x0,0x00
Fili Shield,0x03EA,0x0499,0x04D7,0x71,ItemType,0x08,0x00,0x00,0x00,0x00,0x00,0x00,2,0,0,0,0x11,20000,0x00,0xDA,0x0,NoEffect,0,0x00,0x0,0x00
Member Card,0x03EB,0x049A,0x04D8,0x72,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,12000,0x00,0x84,0x0,NoEffect,0,0x00,0x0,0x00
Silver Card,0x03EC,0x049B,0x04D9,0x73,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,8000,0x00,0x85,0x0,NoEffect,0,0x00,0x0,0x00
White Gem,0x03EF,0x049E,0x00,0x74,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,40000,0x00,0x86,0x0,NoEffect,0,0x00,0x0,0x00
Blue Gem,0x03F0,0x049F,0x00,0x75,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,20000,0x00,0x87,0x0,NoEffect,0,0x00,0x0,0x00
Red Gem,0x03F1,0x04A0,0x00,0x76,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,10000,0x00,0x88,0x0,NoEffect,0,0x00,0x0,0x00
Gold,0x03F2,0x04A1,0x04DA,0x77,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,0,0x00,0x89,0x0,NoEffect,0,0x00,0x0,0x00
GuardMove,GuardMoveName,GuardMoveDesc,0x00,0x78,ItemType,Indestructible,0x00,0x00,0x00,0x00,0x00,0x2D,12,80,8,0,0x11,320,0x00,NormalTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Chest Key,0x03E2,0x0491,0x04CF,0x79,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x05,2,0,0,0,0x11,600,0x00,0x67,0x26,NoEffect,0,0x00,0x0,0x00
Dummy,0x0403,0x04AB,0x00,0x7A,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,1000,0x00,0x8C,0x27,NoEffect,0,0x00,0x0,0x00
Dummy,0x0403,0x04AB,0x00,0x7B,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,1600,0x00,0x8D,0x28,NoEffect,0,0x00,0x0,0x00
Hoplon Guard,0x03F3,0x04A4,0x04DD,0x7C,ItemType,0x08,NegateCriticals,0x00,0x00,0x00,0x00,0x00,2,0,0,0,0x11,10000,0x00,0xDB,0x0,NoEffect,0,0x00,0x0,0x00
Dummy,0x0403,0x04AB,0x00,0x7D,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x0F,2,0,0,0,0x11,0,0x00,0x8F,0x29,NoEffect,0,0x00,"ItemStatus(AtkRingStatusID,1)",0x00
Dummy,0x0403,0x04AB,0x00,0x7E,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x0F,2,0,0,0,0x11,0,0x00,0x90,0x2a,NoEffect,0,0x00,"ItemStatus(DefRingStatusID,1)",0x00
Dummy,0x0403,0x04AB,0x00,0x7F,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x0F,2,0,0,0,0x11,0,0x00,0x91,0x2b,NoEffect,0,0x00,"ItemStatus(CritRingStatusID,1)",0x00
Dummy,0x0403,0x04AB,0x00,0x80,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x0F,2,0,0,0,0x11,0,0x00,0x92,0x2c,NoEffect,0,0x00,"ItemStatus(AvoRingStatusID,1)",0x00
Leaf Blade,LeafBladeName,LeafBladeDesc,0x00,0x81,GrassTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GrassAdv|IsPointer,0x01,T3Phys_Mt-2,90,1,30,0x11,5500,0x00,GrassTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Magical Leaf,MagicalLeafName,MagicalLeafDesc,0x00,0xF3,GrassTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,GrassAdv|IsPointer,0x01,T2Spec_Mt,125,1,0,0x22,4500,0x00,GrassTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Solar Beam,SolarBeamName,SolarBeamDesc,0x00,0x83,GrassTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,GrassAdv|IsPointer,0x01,T4Spec_Mt,90,1,0,0x22,12500,0x00,GrassTypeIcon,0x0,CannotDouble,0,0x00,0x0,0x00
Razor Leaf,RazorLeafName,RazorLeafDesc,0x00,0x84,GrassTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GrassAdv|IsPointer,0x01,T2Phys_Mt,85,1,0,0x11,3500,0x00,GrassTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Vine Whip,VineWhipName,VineWhipDesc,0x00,0x85,GrassTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GrassAdv|IsPointer,0x01,T1Phys_Mt,90,1,0,0x11,1600,0x00,GrassTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Thunder,ThunderName,ThunderDesc,0x00,0x86,ElectricTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,ElectricAdv|IsPointer,0x01,T3Spec_Mt+1,60,1,0,0x22,20000,0x00,ElectricTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Thunder Punch,ThunderPunchName,ThunderPunchDesc,0x00,0x87,ElectricTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,ElectricAdv|IsPointer,0x01,T3Phys_Mt-2,90,1,0,0x11,7500,0x00,ElectricTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Sacred Stone,SacredStoneName,SacredStoneDesc,SacredStoneDesc,0x88,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,2100,0x00,SacredStoneIcon,0x2d,NoEffect,0,0x00,0x0,0x00
Metis's Tome,0x03F5,0x04A6,0x04DF,0x89,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,0,0x00,0xDC,0x2e,NoEffect,0,0x00,0x0,0x00
Dummy,0x0403,0x04AB,0x00,0x8A,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,0,0x00,0x9C,0x2f,NoEffect,0,0x00,0x0,0x00
T[_h][_u][_n][_d][_e][_r][_S][_h][_o][_c][_k],ThundershockName,ThundershockDesc,0x00,0x8B,ElectricTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,ElectricAdv|IsPointer,0x01,T1Spec_Mt,90,1,0,0x22,1600,0x00,ElectricTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Latona,0x03D1,0x0480,0x04BE,0x8C,NormalTypeWep,0x14,0x00,0x00,0x00,0x00,0x00,0x03,2,100,5,0,0xFF,0,0x00,0xC3,0x0,NoEffect,0,0x00,0x0,0x00
Thunderbolt,ThunderboltName,ThunderboltDesc,0x00,0x8D,ElectricTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,ElectricAdv|IsPointer,0x01,T3Spec_Mt-1,90,1,0,0x22,10000,0x00,ElectricTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Volt Tackle,VoltTackleName,VoltTackleDesc,0x00,0x8E,ElectricTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,ElectricAdv|IsPointer,0x01,T3Phys_Mt+1,90,1,0,0x11,12500,0x00,ElectricTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
T[_h][_u][_n][_d][_e][_r] W[_a][_v][_e],ThunderWaveName,ThunderWaveDesc,0x00,0x8F,ElectricTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,ElectricAdv|IsPointer,0x01,T2Debuff_Mt,85,1,0,0x12,4000,0x00,ElectricTypeIcon,0x0,NoEffect,0,0x00,"ItemStatus(ParalyzeStatusID_Def, StatusEffectDuration)",0x00
Spark,SparkName,SparkDesc,0x00,0x90,ElectricTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,ElectricAdv|IsPointer,0x01,T2Phys_Mt,90,1,0,0x11,4500,0x00,ElectricTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Blizzard,BlizzardName,BlizzardDesc,0x04AC,0x91,IceTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,IceAdv|IsPointer,0x01,T3Spec_Mt+3,60,1,0,0x22,20000,0x00,IceTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Aurora Beam,AuroraBeamName,AuroraBeamDesc,0x00,0x92,IceTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,IceAdv|IsPointer,0x01,T2Spec_Mt-1,90,1,0,0x22,5500,0x00,IceTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Ice Beam,IceBeamName,IceBeamDesc,0x00,0x93,IceTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,IceAdv|IsPointer,0x01,T3Spec_Mt-1,90,1,0,0x22,10000,0x00,IceTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Ice Punch,IcePunchName,IcePunchDesc,0x00,0x94,IceTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,IceAdv|IsPointer,0x01,T3Phys_Mt-2,90,1,0,0x11,7500,0x00,IceTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Avalanche,AvalancheName,AvalancheDesc,0x00,0x95,IceTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,IceAdv|IsPointer,0x01,T2Phys_Mt,90,1,0,0x11,6000,0x00,IceTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Karate Chop,KarateChopName,KarateChopDesc,0x00,0x96,FightingTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FightingAdv|IsPointer,0x01,T2Phys_Mt-3,90,1,25,0x11,3500,0x00,FightingTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Fire Stone,FireStoneName,FireStoneDesc,FireStoneDesc,0x97,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,2100,0x00,FireStoneIcon,0x30,NoEffect,0,0x00,0x0,0x00
Lunar Brace,0x03F7,0x04A8,0x04E1,0x98,ItemType,0x10,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,0,0x00,0xD8,0x31,NoEffect,0,0x00,0x0,0x00
Solar Brace,0x03F8,0x04A9,0x04E2,0x99,ItemType,0x10,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,0,0x00,0xD7,0x32,NoEffect,0,0x00,0x0,0x00
100 Credits,0x03F9,0x04A1,0x04DA,0x9A,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x00,200,0x00,0x89,0x0,NoEffect,0,0x00,0x0,0x00
250 Credits,0x03FA,0x04A1,0x04DA,0x9B,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x00,500,0x00,0x89,0x0,NoEffect,0,0x00,0x0,0x00
500 Credits,0x03FB,0x04A1,0x04DA,0x9C,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x00,1000,0x00,0x89,0x0,NoEffect,0,0x00,0x0,0x00
1000 Credits,0x03FC,0x04A1,0x04DA,0x9D,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x00,2000,0x00,0x89,0x0,NoEffect,0,0x00,0x0,0x00
250 Credits,0x03FD,0x04A1,0x04DA,0x9E,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x00,500,0x00,0x89,0x0,NoEffect,0,0x00,0x0,0x00
"3,000 Credits",0x0400,0x04A1,0x04DA,0x9F,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x00,6000,0x00,0x89,0x0,NoEffect,0,0x00,0x0,0x00
"5,000 Credits",0x0401,0x04A1,0x04DA,0xA0,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x00,10000,0x00,0x89,0x0,NoEffect,0,0x00,0x0,0x00
Double Kick,DoubleKickName,DoubleKickDesc,0x00,0xA1,FightingTypeWep,IsBrave|Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FightingAdv|IsPointer,0x01,1,90,1,0,0x11,1600,0x00,FightingTypeIcon,0x0,CannotDouble,0,0x00,0x0,0x00
JellyDonut,JellyDonutText,JellyDonutDescText,JellyDonutDescText,0xA2,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x05,0,0,0,0,0x11,150,0x00,JellyDonutIcon,0x33,NoEffect,0,0x00,0x0F,0x00
Super Potion,SuperPotionText,SuperPotionDescText,SuperPotionDescText,0xA3,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x0A,0,0,0,0,0x11,500,0x00,SuperPotionIcon,0x33,NoEffect,0,0x00,0x19,0x00
Hyper Potion,HyperPotionText,HyperPotionDescText,HyperPotionDescText,0xA4,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x0A,0,0,0,0,0x11,1000,0x00,HyperPotionIcon,0x33,NoEffect,0,0x00,0x28,0x00
Dance,0x03D2,0x0481,0x04BF,0xA5,0x0C,0x00,0x00,0x00,0x00,0x00,0x00,0x00,2,0,0,0,0x11,0,0x00,FireTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Nightmare,0x039C,0x044C,0x00,0xA6,NormalTypeWep,Indestructible,0x00,0x00,0x00,0x00,0x00,0x01,2,70,1,0,0x13,2500,0x00,0xC7,0x0,NoEffect,0,0x00,0x0,0x00
Hi Jump Kick,HiJumpKickName,HiJumpKickDesc,0x04AE,0xA7,FightingTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FightingAdv|IsPointer,0x01,T3Phys_Mt+2,80,1,0,0x11,15000,0x00,FightingTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Jump Kick,JumpKickName,JumpKickDesc,0x00,0xA8,FightingTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FightingAdv|IsPointer,0x01,T2Phys_Mt+2,85,1,0,0x11,8000,0x00,FightingTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Low Kick,LowKickName,LowKickDesc,0x00,0xA9,FightingTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FightingAdv|IsPointer,0x01,T1Phys_Mt,95,1,0,0x11,2500,0x00,FightingTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Rolling Kick,RollingKickName,RollingKickDesc,0x04AD,0xAA,FightingTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FightingAdv|IsPointer,0x01,T2Phys_Mt,75,1,0,0x11,4000,0x00,FightingTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Seismic Toss,SeismicTossName,SeismicTossDesc,0x00,0xAB,FightingTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,FightingAdv|IsPointer,0x01,0,80,1,0,0x11,2500,0x00,FightingTypeIcon,0x0,CannotDouble,0,0x00,0x0,0x00
Submission,SubmissionName,SubmissionDesc,0x00,0xAC,FightingTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FightingAdv|IsPointer,0x01,T3Phys_Mt,70,1,0,0x11,6000,0x00,FightingTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Acid,AcidName,AcidDesc,0x00,0xAD,PoisonTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,PoisonAdv|IsPointer,0x01,T1Debuff_Mt,85,1,0,0x22,1600,0x00,PoisonTypeIcon,0x0,NoEffect,0,WeakResDebuff,0x0,0x00
Poison Gas,PoisonGasName,PoisonGasDesc,0x00,0xAE,PoisonTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,PoisonAdv|IsPointer,0x01,T1Spec_Mt-2,75,1,0,0x22,2500,0x00,PoisonTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Poison Powder,PoisonPowderName,PoisonPowderDesc,0x00,0xAF,PoisonTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,PoisonAdv|IsPointer,0x01,T1Debuff_Mt,85,1,0,0x12,2500,0x00,PoisonTypeIcon,0x0,NoEffect,0,WeakResDebuff,0x0,0x00
Poison Sting,PoisonStingName,PoisonStingDesc,0x00,0xB0,PoisonTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,PoisonAdv|IsPointer,0x01,T1Phys_Mt-2,75,1,0,0x11,1000,0x00,PoisonTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Sludge,SludgeName,SludgeDesc,0x00,0xB1,PoisonTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,PoisonAdv|IsPointer,0x01,T2Spec_Mt,90,1,0,0x22,10000,0x00,PoisonTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Smog,SmogName,SmogDesc,0x00,0xB2,PoisonTypeWep,Indestructible|IsWeapon,0x00,NegateDef,0x00,0x00,PoisonAdv|IsPointer,0x01,T2Debuff_Mt,85,1,0,0x12,2500,0x00,PoisonTypeIcon,0x0,NoEffect,0,WeakResDebuff,0x0,0x00
Poison Jab,PoisonJabName,PoisonJabDesc,0x00,0xB3,PoisonTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,PoisonAdv|IsPointer,0x01,T3Phys_Mt,90,1,0,0x11,8000,0x00,PoisonTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Toxic,ToxicName,ToxicDesc,0x00,0xB4,PoisonTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,PoisonAdv|IsPointer,0x01,T2Debuff_Mt,70,1,0,0x12,2500,0x00,PoisonTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Stone,0x03BD,0x046C,0x00,0xB5,GroundTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,0x00,0x01,8,90,1,0,0x12,2500,0x00,GroundTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Dig,DigName,DigDesc,0x00,0xB6,GroundTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GroundAdv|IsPointer,0x01,T2Phys_Mt,85,1,0,0x11,5500,0x00,GroundTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Exotic Candy,ExoticCandyName,ExoticCandyDesc,ExoticCandyDesc,0xB7,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,0,0x00,RareCandyIcon,0x36,NoEffect,0,0x00,0x0,0x00
150 Credits,0x03FE,0x04A1,0x04DA,0xB8,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,300,0x00,0x89,0x0,NoEffect,0,0x00,0x0,0x00
200 Credits,0x03FF,0x04A1,0x04DA,0xB9,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,400,0x00,0x89,0x0,NoEffect,0,0x00,0x0,0x00
Black Gem,0x03EE,0x049D,0x00,0xBA,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,60000,0x00,0xC8,0x0,NoEffect,0,0x00,0x0,0x00
Gold Gem,0x03ED,0x049C,0x00,0xBB,ItemType,0x00,0x00,0x00,0x00,0x00,0x00,0x01,2,0,0,0,0x11,80000,0x00,0xC9,0x0,NoEffect,0,0x00,0x0,0x00
Bonemerang,BonemerangName,BonemerangDesc,0x00,0xBC,GroundTypeWep,IsBrave|Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GroundAdv|IsPointer,0x01,T1Phys_Mt+1,100,1,0,0x12,12500,0x00,GroundTypeIcon,0x0,CannotDouble,0,0x00,0x0,0x00
Earthquake,EarthquakeName,EarthquakeDesc,0x00,0xBD,GroundTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GroundAdv|IsPointer,0x01,T3Phys_Mt,90,1,0,0x11,10000,0x00,GroundTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Fissure,FissureName,FissureDesc,0x00,0xBE,GroundTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GroundAdv|IsPointer,0x01,T3Phys_Mt+3,90,1,0,0x11,20000,0x00,GroundTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Magnitude,MagnitudeName,MagnitudeDesc,0x00,0xBF,GroundTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,GroundAdv|IsPointer,0x01,T1Phys_Mt+1,90,1,0,0x11,2500,0x00,GroundTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Earth Power,EarthPowerName,EarthPowerDesc,0x00,0xC0,GroundTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,GroundAdv|IsPointer,0x01,T3Spec_Mt-1,90,1,0,0x22,8000,0x00,GroundTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
MudBomb,MudBombName,MudBombDesc,0x00,0xC1,GroundTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,GroundAdv|IsPointer,0x01,T2Spec_Mt-1,85,1,0,0x22,4500,0x00,GroundTypeIcon,0x0,NoEffect,0,WeakSkillDebuff,0x0,0x00
MudShot,MudShotName,MudShotDesc,0x00,0xC2,GroundTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,GroundAdv|IsPointer,0x01,T1Spec_Mt,85,1,0,0x22,1600,0x00,GroundTypeIcon,0x0,NoEffect,0,WeakSkillDebuff,0x0,0x00
Drill Peck,DrillPeckName,DrillPeckDesc,0x00,0xC3,FlyingTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FlyingAdv|IsPointer,0x01,T3Phys_Mt-1,90,1,0,0x11,8000,0x00,FlyingTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Fly,FlyName,FlyDesc,0x00,0xC4,FlyingTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FlyingAdv|IsPointer,0x01,T2Phys_Mt+1,85,1,0,0x11,10000,0x00,FlyingTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Gust,GustName,GustDesc,0x00,0xC5,FlyingTypeWep,IsMagic|Indestructible|IsWeapon|MagicDamage,0x00,0x00,0x00,0x00,FlyingAdv|IsPointer,0x01,T1Spec_Mt,90,1,0,0x22,1600,0x00,FlyingTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Peck,PeckName,PeckDesc,0x00,0xC6,FlyingTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FlyingAdv|IsPointer,0x01,T1Phys_Mt,90,1,0,0x11,1000,0x00,FlyingTypeIcon,0x0,NoEffect,0,0x00,0x0,0x00
Sky Attack,SkyAttackName,SkyAttackDesc,0x00,0xC7,FlyingTypeWep,Indestructible|IsWeapon,0x00,0x00,0x00,0x00,FlyingAdv|IsPointer,0x01,T4Phys_Mt,90,1,0,0x11,12500,0x00,FlyingTypeIcon,0x0,CannotDouble,0,0x00,0x0,0x00
