0x809b10,Item Name,Item Description,Use Item Description,Item Number,Weapon Type,Weapon Ability 1,Weapon Ability 2,Weapon Ability 3,Weapon Ability 4,Stat Bonuses Pointer,Effectiveness Pointer,Durability,Power,Hit%,Weight,Critical%,Minimum - Maximum Range,Cost Per Use (0 = Unsellable),Weapon Rank,Item Icon #,Staff/Use Effect,Weapon Effect,Weapon Experience,DebuffType,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero)
Nidhogg,0x396,0x446,0x0,0x94,0x3,0x11,0x0,0x0,0x0,0x88aef9c,0x88adef1,30,18,80,7,0,0x22,0,251,0xba,0x0,0,2,0,0,0
Heavy Lance,0x378,0x428,0x0,0x95,0x1,0x1,0x0,0x0,0x0,0x0,0x88adebb,16,9,70,14,0,0x11,75,31,0xa7,0x0,0,2,0,0,0
Short Spear,0x379,0x429,0x0,0x96,0x1,0x1,0x0,0x0,0x0,0x0,0x0,18,9,60,12,0,0x12,50,71,0xa8,0x0,0,2,0,0,0
Ocean Seal,0x3f6,0x4a7,0x4e0,0x97,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,0,0xa9,0x30,0,0,0,0,0
Lunar Brace,0x3f7,0x4a8,0x4e1,0x98,0x9,0x10,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,0,0,0xd8,0x31,0,0,0,0,0
Solar Brace,0x3f8,0x4a9,0x4e2,0x99,0x9,0x10,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,0,0,0xd7,0x32,0,0,0,0,0
1G,0x3f9,0x4a1,0x4da,0x9a,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,1,0,0x89,0x0,0,0,0,0,0
5G,0x3fa,0x4a1,0x4da,0x9b,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,5,0,0x89,0x0,0,0,0,0,0
10G,0x3fb,0x4a1,0x4da,0x9c,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,10,0,0x89,0x0,0,0,0,0,0
50G,0x3fc,0x4a1,0x4da,0x9d,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,50,0,0x89,0x0,0,0,0,0,0
100G,0x3fd,0x4a1,0x4da,0x9e,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,100,0,0x89,0x0,0,0,0,0,0
3000G,0x400,0x4a1,0x4da,0x9f,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,3000,0,0x89,0x0,0,0,0,0,0
5000G,0x401,0x4a1,0x4da,0xa0,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,5000,0,0x89,0x0,0,0,0,0,0
Wind Sword,0x368,0x418,0x0,0xa1,0x0,0x41,0x0,0x0,0x0,0x0,0x88adf2a,40,9,70,9,0,0x12,200,121,0xaa,0x0,0,2,0,0,0
Vulnerary,0x3e5,0x494,0x4d2,0xa2,0x9,0x0,0x0,0x0,0x0,0x0,0x0,60,0,0,0,0,0x11,100,0,0x6a,0x33,0,0,0,0,0
Vulnerary (green note),0x3e5,0x494,0x4d2,0xa3,0x9,0x0,0x0,0x0,0x0,0x0,0x0,60,0,0,0,0,0x11,100,0,0xab,0x34,0,0,0,0,0
Vulnerary (red note),0x3e5,0x494,0x4d2,0xa4,0x9,0x0,0x0,0x0,0x0,0x0,0x0,60,0,0,0,0,0x11,100,0,0xac,0x35,0,0,0,0,0
Dance,0x3d2,0x481,0x4bf,0xa5,0xc,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x11,0,0,0x0,0x0,0,0,0,0,0
Nightmare,0x39c,0x44c,0x0,0xa6,0x4,0x4,0x0,0x0,0x0,0x88aefa8,0x0,1,0,70,8,0,0x13,0,0,0xc7,0x0,0,0,0,0,0
Demon Stone (DUMMY),0x399,0x449,0x4ae,0xa7,0xb,0x9,0x4,0x0,0x0,0x0,0x0,0,10,65,0,0,0x11,0,0,0x88,0x0,0,0,0,0,0
Demon Light,0x39a,0x44a,0x0,0xa8,0xb,0x9,0x4,0x0,0x0,0x88aefb4,0x0,0,15,60,0,0,0x13,0,0,0xc5,0x0,0,0,0,0,0
Ravager,0x39b,0x44b,0x0,0xa9,0xb,0x9,0x4,0x0,0x0,0x88aefc0,0x0,0,15,85,0,10,0x11,0,0,0xc6,0x0,0,0,0,0,0
Dragonstone,0x398,0x448,0x4ad,0xaa,0xb,0x11,0x4,0x0,0x0,0x88aefcc,0x88adf39,50,16,100,0,15,0x11,0,0,0xc4,0x0,0,0,0,0,0
Demon Surge,0x3c0,0x46f,0x0,0xab,0x7,0xb,0x0,0x0,0x0,0x0,0x0,0,11,80,10,0,0x12,0,0,0xc1,0x0,0,0,0,0,0
Shadowshot,0x3c1,0x470,0x0,0xac,0x7,0x83,0x0,0x0,CannotDoubleEffect,0x0,0x0,5,13,70,20,5,0x3a,0,0,0xc2,0x0,CannotDoubleEffect,0,0,0,0
Rotten Claw,0x39e,0x44e,0x0,0xad,0xb,0x9,0x4,0x0,0x0,0x0,0x0,0,7,80,8,0,0x11,0,0,0xd1,0x0,0,0,0,0,0
Fetid Claw,0x39f,0x44f,0x0,0xae,0xb,0x9,0x4,0x0,0x0,0x0,0x0,0,12,75,10,0,0x11,0,0,0xd2,0x0,0,0,0,0,0
Poison Claw,0x3a0,0x450,0x0,0xaf,0xb,0x9,0x4,0x0,0x0,0x0,0x0,0,6,65,10,0,0x11,0,0,0xd3,0x0,1,0,0,0,0
Lethal Talon,0x3a1,0x451,0x0,0xb0,0xb,0x9,0x4,0x0,0x0,0x0,0x0,0,10,60,12,0,0x11,0,0,0xd4,0x0,1,0,0,0,0
Fiery Fang,0x3a2,0x452,0x0,0xb1,0xb,0x9,0x4,0x0,0x0,0x0,0x0,0,5,90,5,0,0x11,0,0,0xd5,0x0,0,0,0,0,0
Hellfang,0x3a3,0x453,0x0,0xb2,0xb,0x9,0x4,0x0,0x0,0x0,0x0,0,13,80,8,0,0x11,0,0,0xd6,0x0,0,0,0,0,0
Evil Eye,0x3be,0x46d,0x0,0xb3,0x7,0xb,0x0,0x0,0x0,0x0,0x0,0,7,85,6,0,0x12,0,0,0xbe,0x0,0,0,0,0,0
Crimson Eye,0x3bf,0x46e,0x0,0xb4,0x7,0xb,0x0,0x0,0x0,0x0,0x0,0,14,70,13,5,0x12,0,0,0xbf,0x0,0,0,0,0,0
Stone,0x3bd,0x46c,0x0,0xb5,0x7,0x3,0x0,0x0,0x0,0x0,0x0,5,0,65,8,0,0x13,0,0,0xc0,0x0,5,10,0,0,0
Aircalibur,0x3ac,0x45b,0x0,0xb6,0x5,0x3,0x0,0x0,0x0,0x0,0x88adf2a,20,8,85,2,0,0x12,55,121,0x35,0x0,0,2,0,0,0
Juna Fruit,0x402,0x4aa,0x4e3,0xb7,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,0,0,0xdd,0x36,0,0,0,0,0
150G,0x3fe,0x4a1,0x4da,0xb8,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,150,0,0x89,0x0,0,0,0,0,0
200G,0x3ff,0x4a1,0x4da,0xb9,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,200,0,0x89,0x0,0,0,0,0,0
Black Gem,0x3ee,0x49d,0x0,0xba,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,30000,0,0xc8,0x0,0,0,0,0,0
Gold Gem,0x3ed,0x49c,0x0,0xbb,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,40000,0,0xc9,0x0,0,0,0,0,0
0xc2,0x403,0x4ab,0x0,0xc2,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x11,0,0,0x5b,0x0,0,0,0,0,0
0xc3,0x403,0x4ab,0x0,0xc3,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x11,0,0,0x5b,0x0,0,0,0,0,0
0xc4,0x403,0x4ab,0x0,0xc4,0x2,0x1,0x0,0x0,0x0,0x0,0x0,0,11,80,10,0,0x11,0,0,0x5b,0x0,0,0,0,0,0
0xc5,0x403,0x4ab,0x0,0xc5,0x2,0x1,0x0,0x0,0x0,0x0,0x0,0,11,80,10,0,0x11,0,0,0x5b,0x0,0,0,0,0,0
0xc6,0x403,0x4ab,0x0,0xc6,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x11,0,0,0x5b,0x0,0,0,0,0,0
0xc7,0x403,0x4ab,0x0,0xc7,0x3,0x1,0x0,0x0,0x0,0x0,0x0,0,11,80,10,0,0x11,0,0,0x5b,0x0,0,0,0,0,0
0xc2,0x403,0x4ab,0x0,0xc2,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x11,0,0,0x0,0x0,0,2,0,0,0
0xc3,0x403,0x4ab,0x0,0xc3,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x11,0,0,0x0,0x0,0,2,0,0,0
0xc4,0x403,0x4ab,0x0,0xc4,0x2,0x1,0x0,0x0,0x0,0x0,0x0,0,11,80,10,0,0x11,0,0,0x0,0x0,0,2,0,0,0
0xc5,0x403,0x4ab,0x0,0xc5,0x2,0x1,0x0,0x0,0x0,0x0,0x0,0,11,80,10,0,0x11,0,0,0x0,0x0,0,2,0,0,0
0xc6,0x403,0x4ab,0x0,0xc6,0x0,0x1,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x11,0,0,0x0,0x0,0,2,0,0,0
0xc7,0x403,0x4ab,0x0,0xc7,0x3,0x1,0x0,0x0,0x0,0x0,0x0,0,11,80,10,0,0x11,0,0,0x0,0x0,0,2,0,0,0
0xc8,0x403,0x4ab,0x0,0xc8,0x1,0x1,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x11,0,0,0x0,0x0,0,2,0,0,0
0xc9,0x403,0x4ab,0x0,0xc9,0x6,0x3,0x0,0x0,0x0,0x0,0x0,0,11,80,10,0,0x12,0,0,0x0,0x0,0,2,0,0,0
0xca,0x403,0x4ab,0x0,0xca,0x7,0x3,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,0,0x0,0x0,0,2,0,0,0
0xcb,0x403,0x4ab,0x0,0xcb,0x7,0x3,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,0,0x0,0x0,0,2,0,0,0
0xcc,0x403,0x4ab,0x0,0xcc,0x9,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0,0,0,0x11,0,0,0x9d,0x0,0,0,0,0,0
0xcd,0x403,0x4ab,0x0,0xcd,0xc,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0x12,0,0,0x0,0x0,0,2,0,0,0
