0x803D64	Name	Details	ID	Support Class	Portrait	Map Portrait	B9	Unit Sort Order	LV	HP	POW	SKL	SPD	DEF	RES	LUK	CON	Sword	Lance	Axe	Bow	Staff	Anima	Light	Dark	HP	POW	SKL	SPD	DEF	RES	LUK	??	??	??	??	??	Ability 1	Ability 2	Ability 3	Ability 4	Support Data	Conversation Group	??	??	??
44 Selena	0x0238	0x0293	0x44	0x2A	0x3F	0x00	0x02	0x00	0x0B	0x13	0x0A	0x08	0x0A	0x08	0x0B	0x0A	0x00	0x00	0x00	0x00	0x00	0x79	0xB5	0x00	0x00	0x55	0x28	0x37	0x28	0x14	0x1E	0x19	0x00	0x00	0x00	0x00	0x00	0x00	0xC0	0x00	0x00	0x00	0x00	0x00	0x00	0x00
45 Valter	0x0237	0x0292	0x45	0x23	0x42	0x00	0x04	0x00	0x05	0x0E	0x06	0x07	0x06	0x03	0x05	0x02	0x01	0x00	0xB5	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
46 Breguet	0x0239	0x0294	0x46	0x09	0x31	0x00	0x02	0x00	0x04	0x03	0x03	0x00	0x01	0x00	0x00	0x02	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
47 Bone	0x023A	0x0295	0x47	0x41	0x32	0x00	0x04	0x00	0x04	0x03	0x01	0x03	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
48 Bazba	0x023B	0x0296	0x48	0x41	0x33	0x00	0x01	0x00	0x06	0x05	0x03	0x04	0x02	0x02	0x02	0x01	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
49 Monster	0x0255	0x02B1	0x49	0x53	0x00	0x04	0x05	0x00	0x06	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
4A Saar	0x023C	0x0297	0x4A	0x09	0x34	0x00	0x07	0x00	0x08	0x0D	0x06	0x05	0x03	0x02	0x03	0x04	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
4B Novala	0x023D	0x0298	0x4B	0x2D	0x36	0x00	0x01	0x00	0x0A	0x0C	0x08	0x07	0x04	0x03	0x05	0x07	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x47	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
4C Murray	0x023E	0x0299	0x4C	0x05	0x37	0x00	0x06	0x00	0x0C	0x0C	0x03	0x07	0x05	0x01	0x06	0x07	0x00	0x47	0x79	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
4D Tirado	0x023F	0x029A	0x4D	0x0B	0x38	0x00	0x07	0x00	0x01	0x13	0x05	0x04	0x02	0x01	0x05	0x02	0x00	0x79	0xB5	0x79	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
4E Binks	0x0240	0x029B	0x4E	0x40	0x39	0x00	0x05	0x00	0x05	0x0E	0x08	0x05	0x02	0x07	0x08	0x03	0x00	0x00	0x00	0x79	0x47	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
4F Pablo	0x0241	0x029C	0x4F	0x27	0x3A	0x00	0x04	0x00	0x07	0x10	0x08	0x05	0x08	0x02	0x0C	0x09	0x00	0x00	0x00	0x00	0x00	0x47	0x79	0x47	0x00	105	70	45	55	35	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
50 Monster	0x0255	0x02B1	0x50	0x5E	0x00	0x04	0x05	0x00	0x09	0x0F	0x06	0x06	0x02	0x04	0x08	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
51 Aias	0x0242	0x029D	0x51	0x35	0x3B	0x00	0x07	0x00	0x0A	0x19	0x0A	0x07	0x04	0x08	0x09	0x0B	0x01	0xB5	0x79	0x79	0x00	0x00	0x00	0x00	0x00	105	70	55	55	45	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
52 Carlyle	0x0243	0x029E	0x52	0x15	0x3C	0x00	0x01	0x00	0x0B	0x14	0x06	0x06	0x08	0x04	0x08	0x08	0x00	0xB5	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	85	30	30	40	40	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
53 Caellach	0x0244	0x029F	0x53	0x11	0x43	0x00	0x02	0x00	0x0C	0x19	0x0D	0x05	0x03	0x07	0x0B	0x0E	0x02	0xB5	0x00	0xFB	0x00	0x00	0x00	0x00	0x00	105	70	65	65	50	40	40	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
54 Pablo	0x0241	0x029C	0x54	0x27	0x3A	0x00	0x04	0x00	0x07	0x0E	0x08	0x05	0x08	0x02	0x0C	0x09	0x00	0x00	0x00	0x00	0x00	0x47	0x79	0x47	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
55 Enemy	0x0267	0x00	0x55	0x41	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
56 Monster	0x0255	0x02B1	0x56	0x61	0x00	0x04	0x05	0x00	0x0F	0x19	0x0A	0x0B	0x07	0x05	0x0C	0x03	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0xB5	105	85	40	60	35	60	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
57 Riev	0x0246	0x02A0	0x57	0x2B	0x48	0x00	0x05	0x00	0x10	0x1C	0x0A	0x11	0x0F	0x0D	0x0A	0x09	0x00	0x00	0x00	0x00	0x00	0xB5	0x00	0xFB	0x00	95	65	70	60	40	65	35	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
58 Enemy	0x0267	0x00	0x58	0x41	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
59 Enemy	0x0267	0x00	0x59	0x41	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
5A Gheb	0x0247	0x02A1	0x5A	0x40	0x3D	0x00	0x02	0x00	0x05	0x11	0x0A	0x03	0x00	0x08	0x05	0x01	0x03	0x00	0x00	0xB5	0x1F	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
5B Beran	0x0248	0x02A2	0x5B	0x1D	0x3E	0x00	0x04	0x00	0x07	0x16	0x08	0x07	0x07	0x08	0x09	0x06	0x00	0x79	0x00	0x00	0xB5	0x00	0x00	0x00	0x00	105	70	55	55	45	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
5C Monster	0x0255	0x02B1	0x5C	0x5A	0x00	0x04	0x05	0x00	0x09	0x12	0x07	0x03	0x03	0x02	0x0A	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	55	55	45	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
5D Monster	0x0255	0x02B1	0x5D	0x56	0x00	0x04	0x05	0x00	0x08	0x0F	0x05	0x0A	0x07	0x04	0x07	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
5E Monster	0x0255	0x02B1	0x5E	0x64	0x00	0x04	0x05	0x00	0x08	0x0E	0x05	0x09	0x06	0x04	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
5F Monster	0x0255	0x02B1	0x5F	0x53	0x00	0x04	0x05	0x00	0x01	0x07	0x02	0x02	0x01	0x02	0x02	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	55	55	35	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
60 Enemy	0x0267	0x00	0x60	0x41	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
61 Enemy	0x0267	0x00	0x61	0x41	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
62 Enemy	0x0267	0x00	0x62	0x41	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
63 Enemy	0x0267	0x00	0x63	0x41	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
64 Hunter	0x0250	0x02AC	0x64	0x0D	0x00	0x06	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
65 Bandit	0x024F	0x02AD	0x65	0x41	0x00	0x06	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
66 Bandit	0x024F	0x02AD	0x66	0x41	0x4C	0x06	0x02	0x00	0x01	0x02	0x02	0x02	0x02	0x02	0x02	0x02	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
67 Bandit	0x024F	0x02AD	0x67	0x41	0x4D	0x06	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
68 O'Neill	0x0249	0x02A3	0x68	0x3F	0x30	0x00	0x01	0x00	0x04	0x03	0x01	0x02	0x03	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
69 Glen	0x024A	0x02A4	0x69	0x21	0x4B	0x00	0x03	0x00	0x0C	0x15	0x0B	0x0C	0x06	0x08	0x04	0x07	0x01	0x79	0xB5	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
6A Zonta	0x024B	0x02A5	0x6A	0x0F	0x35	0x00	0x06	0x00	0x08	0x07	0x05	0x00	0x01	0x02	0x06	0x04	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
6B Vigarde	0x024C	0x02A6	0x6B	0x0B	0x40	0x00	0x07	0x00	0x0D	0x1F	0x0D	0x0A	0x08	0x07	0x09	0x09	0x02	0xB5	0xFB	0xB5	0x00	0x00	0x00	0x00	0x00	105	70	30	30	30	35	50	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
6C Lyon	0x0234	0x02A7	0x6C	0x4F	0x4A	0x00	0x04	0x00	0x12	0x37	0x14	0x0F	0x0A	0x17	0x15	0x09	0x00	0x00	0x00	0x00	0x00	0xB5	0x00	0x00	0xFB	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
6D Orson	0x0236	0x02A8	0x6D	0x07	0x44	0x00	0x05	0x00	0x0D	0x19	0x0B	0x0B	0x07	0x06	0x08	0x06	0x01	0xB5	0xB5	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x80	0x00	0x00	0x00	0x00	0x00	0x00	0x00
6E Enemy	0x0267	0x00	0x6E	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
6F Enemy	0x0267	0x00	0x6F	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
70 Enemy	0x0267	0x00	0x70	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
71 Enemy	0x0267	0x00	0x71	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
72 Enemy	0x0267	0x00	0x72	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
73 Enemy	0x0267	0x00	0x73	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
74 Enemy	0x0267	0x00	0x74	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
75 Enemy	0x0267	0x00	0x75	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
76 Enemy	0x0267	0x00	0x76	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
77 Enemy	0x0267	0x00	0x77	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
78 Enemy	0x0267	0x00	0x78	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
79 Enemy	0x0267	0x00	0x79	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
7A Enemy	0x0267	0x00	0x7A	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
7B Enemy	0x0267	0x00	0x7B	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
7C Enemy	0x0267	0x00	0x7C	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
7D Enemy	0x0267	0x00	0x7D	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
7E Enemy	0x0267	0x00	0x7E	0x41	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
7F Soldier	0x024D	0x02A9	0x7F	0x05	0x00	0x03	0x00	0x00	0x01	0x03	0x02	0x01	0x02	0x02	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
80 Soldier	0x024D	0x02A9	0x80	0x3F	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
81 Soldier	0x024D	0x02A9	0x81	0x19	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
82 Soldier	0x024D	0x02A9	0x82	0x3F	0x00	0x03	0x00	0x00	0x01	0x02	0x00	0xFF	0xFD	0x03	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
83 Soldier	0x024D	0x02A9	0x83	0x4E	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
84 Soldier	0x024D	0x02A9	0x84	0x09	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
85 Soldier	0x024D	0x02A9	0x85	0x05	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
86 Soldier	0x024D	0x02A9	0x86	0x13	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
87 Soldier	0x024D	0x02A9	0x87	0x0F	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
88 Soldier	0x024D	0x02A9	0x88	0x0D	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
89 Soldier	0x024D	0x02A9	0x89	0x25	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
8A Soldier	0x024D	0x02A9	0x8A	0x44	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
8B Soldier	0x024D	0x02A9	0x8B	0x2D	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
8C Soldier	0x024D	0x02A9	0x8C	0x4B	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x40	0x00	0x00	0x00	0x00	0x00	0x00	0x00
8D Remnant	0x024E	0x02AA	0x8D	0x09	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
8E Cutthroat	0x0254	0x02AE	0x8E	0x41	0x00	0x06	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
8F Remnant	0x024E	0x02AA	0x8F	0x05	0x00	0x03	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	80	40	50	55	35	35	45	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00
