0x807110	Name	Details	ID	Menu Class	Standing Map Anims	Movement Speed	Generic Enemy Portrait	Sort Order	HP	POW	SKL	SPD	DEF	RES	CON	MOVE	HP	POW	SKL	SPD	DEF	RES	CON	Relative Power	HP	POW	SKL	SPD	DEF	RES	LUK	HP	POW	SKL	SPD	DEF	RES	Ability 1	Ability 2	Ability 3	Ability 4	Sword	Lance	Axe	Bow	Staff	Anima	Light	Dark	P52	P56	P60	P64	P68	P72	P76	???
35 Great Knight	0x02E0	0x032B	0x35	0x09	0x2B	0x01	0x96	0x22	0x15	0x08	0x04	0x06	0x0B	0x03	0x0D	0x06	0x3C	0x1C	0x18	0x18	0x1D	0x19	0x19	0x03	90	50	40	35	41	40	90	0x03	0x02	0x01	0x02	0x02	0x01	0x03	0x05	0x00	0x00	0x01	0x1F	0x1F	0x00	0x00	0x00	0x00	0x00	0x8AF36C	0x80BAD3	0x80BF24	0x80C334	0x80C479	0x80C4BA	0x80C4FB	0x00
36 Great Knight	0x02E0	0x032B	0x36	0x0A	0x2B	0x01	0x96	0x22	0x14	0x06	0x06	0x07	0x09	0x03	0x0A	0x06	0x3C	0x1A	0x1A	0x19	0x1C	0x1A	0x19	0x03	90	50	45	40	41	42	90	0x03	0x01	0x01	0x02	0x02	0x02	0x03	0x05	0x00	0x00	0x01	0x1F	0x1F	0x00	0x00	0x00	0x00	0x00	0x8AF38C	0x80BAD3	0x80BF24	0x80C334	0x80C479	0x80C4BA	0x80C4FB	0x00
37 Recruit	0x02DA	0x0332	0x37	0x3A	0x2C	0x00	0x8A	0x28	0x12	0x05	0x03	0x03	0x06	0x00	0x06	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	95	65	60	60	45	55	95	0x02	0x01	0x01	0x01	0x02	0x01	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF3AC	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
38 Journeyman	0x02D8	0x0324	0x38	0x7E	0x2D	0x00	0x74	0x27	0x1C	0x08	0x05	0x06	0x05	0x00	0x08	0x06	0x3C	0x1A	0x1D	0x1C	0x17	0x17	0x14	0x03	105	75	60	52	38	40	105	0x04	0x01	0x02	0x02	0x02	0x02	0x40	0x01	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x8AF3B8	0x80B8CB	0x80BD1C	0x80C12C	0x80C479	0x80C4BA	0x80C4FB	0x00
39 Pupil	0x02D9	0x0325	0x39	0x7F	0x2E	0x00	0x7C	0x29	0x14	0x05	0x04	0x04	0x05	0x05	0x05	0x06	0x3C	0x1D	0x1C	0x1B	0x15	0x1A	0x14	0x03	75	75	60	55	30	50	75	0x04	0x02	0x00	0x01	0x03	0x03	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x01	0x1F	0x8AF3D0	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
3A Recruit	0x02DA	0x0332	0x3A	0x37	0x2C	0x00	0x8A	0x28	0x17	0x06	0x06	0x0B	0x07	0x06	0x06	0x06	0x3C	0x17	0x1E	0x1D	0x16	0x1A	0x14	0x03	95	65	60	60	45	55	95	0x02	0x02	0x01	0x01	0x02	0x01	0x40	0x01	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF3E4	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
3B Manakete	0x02D7	0x0323	0x3B	0x1F	0x2F	0x00	0xA9	0x1F	0x14	0x00	0x00	0x02	0x01	0x01	0x19	0x03	0x3C	0x14	0x14	0x14	0x14	0x14	0x19	0x03	115	60	50	40	20	30	115	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF3F0	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
3C Manakete	0x02D7	0x0323	0x3C	0x20	0x30	0x00	0x8F	0x1F	0x0C	0x00	0x00	0x02	0x02	0x02	0x05	0x06	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x02	115	60	50	40	20	30	115	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF3FC	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
3D Journeyman	0x02D8	0x0324	0x3D	0x00	0x2D	0x00	0x74	0x27	0x0E	0x03	0x00	0x01	0x01	0x00	0x08	0x04	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	105	75	60	52	38	40	105	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x08	0x00	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x8AF408	0x80B8CB	0x80BD1C	0x80C12C	0x80C479	0x80C4BA	0x80C4FB	0x00
3E Pupil	0x02D9	0x0325	0x3E	0x00	0x2E	0x00	0x7C	0x29	0x0D	0x01	0x00	0x01	0x00	0x03	0x05	0x04	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	75	75	60	55	30	50	75	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x08	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x8AF420	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
3F Fighter	0x02DC	0x0327	0x3F	0x40	0x31	0x00	0x74	0x23	0x14	0x05	0x02	0x04	0x02	0x00	0x0B	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	105	75	55	50	35	35	105	0x02	0x02	0x01	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x8AF434	0x80B8CB	0x80BD1C	0x80C12C	0x80C479	0x80C4BA	0x80C4FB	0x00
40 Warrior	0x02DD	0x0328	0x40	0x3F	0x32	0x00	0x75	0x25	0x1C	0x08	0x05	0x06	0x05	0x00	0x0D	0x06	0x3C	0x1E	0x1C	0x1A	0x1A	0x16	0x19	0x03	100	65	45	40	36	37	100	0x03	0x01	0x02	0x00	0x03	0x03	0x00	0x01	0x00	0x00	0x00	0x00	0x47	0x01	0x00	0x00	0x00	0x00	0x8AF44C	0x80B8CB	0x80BD1C	0x80C12C	0x80C479	0x80C4BA	0x80C4FB	0x00
41 Brigand	0x02DE	0x0329	0x41	0x43	0x33	0x00	0x8B	0x00	0x14	0x05	0x01	0x05	0x03	0x00	0x0C	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	102	70	50	40	30	33	102	0x02	0x01	0x01	0x00	0x01	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x8AF468	0x80B94D	0x80BD9E	0x80C1AE	0x80C479	0x80C4BA	0x80C4FB	0x0880C5FF
42 Pirate	0x02EE	0x033A	0x42	0x43	0x34	0x00	0x8C	0x24	0x13	0x04	0x02	0x06	0x03	0x00	0x0A	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	95	70	55	45	30	33	95	0x02	0x02	0x00	0x01	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x8AF480	0x80B98E	0x80BDDF	0x80C1EF	0x80C479	0x80C4BA	0x80C4FB	0x0880C640
43 Berserker	0x02DF	0x032A	0x43	0x42	0x35	0x00	0x8D	0x26	0x18	0x07	0x06	0x07	0x06	0x00	0x0D	0x06	0x3C	0x1E	0x1D	0x1C	0x17	0x15	0x19	0x03	95	70	55	45	30	33	95	0x04	0x01	0x01	0x01	0x02	0x02	0x40	0x01	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x8AF498	0x80B90C	0x80BD5D	0x80C16D	0x80C479	0x80C4BA	0x80C4FB	0x0880C681
44 Monk	0x02E4	0x032F	0x44	0x00	0x36	0x00	0x7A	0x17	0x12	0x01	0x01	0x02	0x01	0x05	0x06	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	70	50	55	52	28	60	70	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x8AF4B0	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x0880C6C2
45 Priest	0x02E6	0x0330	0x45	0x27	0x37	0x00	0x7A	0x15	0x12	0x01	0x01	0x02	0x01	0x05	0x05	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x02	70	50	55	52	28	70	70	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x8AF4C4	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x0880C6C2
46 Bard	0x02E5	0x0331	0x46	0x00	0x38	0x00	0x8B	0x00	0x0E	0x01	0x02	0x07	0x01	0x00	0x06	0x05	0x3C	0x0A	0x0A	0x1E	0x18	0x1A	0x14	0x02	65	65	50	80	20	33	65	0x00	0x00	0x00	0x00	0x00	0x00	0x20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
47 Recruit	0x02DA	0x0332	0x47	0x00	0x2C	0x00	0x8A	0x28	0x0D	0x03	0x00	0x01	0x00	0x01	0x06	0x04	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x01	95	65	60	60	45	55	95	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x08	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF4D0	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
48 Pegasus Kn.	0x02E7	0x0333	0x48	0x49	0x39	0x00	0x86	0x10	0x0E	0x04	0x05	0x05	0x03	0x02	0x05	0x07	0x3C	0x14	0x14	0x14	0x14	0x14	0x19	0x03	85	55	60	60	32	55	85	0x00	0x00	0x00	0x00	0x00	0x00	0x03	0x10	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF4DC	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
49 Falcoknight	0x02E8	0x0334	0x49	0x48	0x3A	0x00	0x87	0x11	0x14	0x06	0x07	0x07	0x05	0x04	0x06	0x08	0x3C	0x17	0x19	0x1C	0x17	0x1A	0x19	0x03	80	50	50	50	32	50	80	0x05	0x02	0x00	0x02	0x02	0x02	0x03	0x11	0x00	0x00	0x01	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF4E8	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
4A Cleric	0x02E9	0x0335	0x4A	0x2C	0x3B	0x00	0x7A	0x16	0x10	0x01	0x02	0x02	0x00	0x06	0x04	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x02	70	50	55	52	28	70	70	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x8AF4F8	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x0880C6C2
4B Troubadour	0x02EA	0x0336	0x4B	0x4C	0x3C	0x00	0x82	0x19	0x0F	0x01	0x01	0x03	0x02	0x05	0x05	0x06	0x3C	0x14	0x14	0x14	0x14	0x14	0x19	0x02	70	45	55	75	32	60	70	0x00	0x00	0x00	0x00	0x00	0x00	0x03	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x00	0x00	0x8AF504	0x80BA92	0x80BEE3	0x80C2F3	0x80C479	0x80C4BA	0x80C4FB	0x00
4C Valkyrie	0x02EB	0x0337	0x4C	0x4B	0x3D	0x00	0x83	0x1A	0x13	0x04	0x03	0x05	0x04	0x08	0x06	0x07	0x3C	0x19	0x18	0x19	0x18	0x1C	0x19	0x03	65	55	45	65	30	60	65	0x03	0x02	0x01	0x00	0x02	0x03	0x03	0x05	0x00	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x1F	0x00	0x8AF510	0x80BAD3	0x80BF24	0x80C334	0x80C479	0x80C4BA	0x80C4FB	0x00
4D Dancer	0x02EC	0x0338	0x4D	0x00	0x3E	0x00	0x8B	0x2A	0x0E	0x01	0x02	0x07	0x00	0x01	0x04	0x05	0x3C	0x0A	0x0A	0x1E	0x18	0x1A	0x14	0x02	65	65	50	80	20	33	65	0x00	0x00	0x00	0x00	0x00	0x00	0x10	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF528	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
4E Soldier	0x02ED	0x0339	0x4E	0x00	0x3F	0x00	0x8A	0x00	0x14	0x03	0x00	0x01	0x00	0x00	0x06	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x02	100	70	50	40	32	35	100	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF53C	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
4F Necromancer	0x02EF	0x033B	0x4F	0x2D	0x40	0x00	0x7F	0x2B	0x12	0x09	0x04	0x05	0x03	0x08	0x07	0x06	0x50	0x1E	0x19	0x19	0x1E	0x1E	0x19	0x03	65	75	50	45	30	55	65	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x08	0x00	0x00	0x00	0x00	0xFB	0x00	0x00	0xFB	0x8AF548	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
50 Fleet	0x02F0	0x033C	0x50	0x00	0x41	0x00	0x92	0x00	0x13	0x01	0x01	0x02	0x05	0x00	0x19	0x03	0x3C	0x14	0x14	0x14	0x1E	0x14	0x19	0x03	95	55	60	52	35	35	95	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x80B98E	0x80BDDF	0x80C1EF	0x80C479	0x80C4BA	0x80C4FB	0x00
51 Phantom	0x02F1	0x033D	0x51	0x00	0x42	0x00	0x98	0x1E	0x01	0x05	0x02	0x04	0x00	0x00	0x0B	0x05	0x01	0x14	0x14	0x14	0x00	0x00	0x14	0x03	20	75	55	65	35	35	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
52 Revenant	0x02F2	0x033E	0x52	0x53	0x43	0x00	0x99	0x00	0x19	0x02	0x00	0x00	0x00	0x00	0x06	0x04	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	115	70	50	40	30	33	115	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF560	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
53 Entombed	0x02F3	0x033F	0x53	0x52	0x44	0x00	0x9A	0x00	0x23	0x03	0x00	0x01	0x00	0x00	0x06	0x05	0x50	0x19	0x16	0x15	0x18	0x16	0x19	0x01	105	60	45	37	30	33	105	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF56C	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
54 Bonewalker	0x02F4	0x0340	0x54	0x56	0x45	0x00	0x9B	0x00	0x14	0x04	0x02	0x03	0x03	0x00	0x07	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	100	70	50	40	32	35	100	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x02	0x00	0x47	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF578	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
55 Bonewalker	0x02F4	0x0340	0x55	0x57	0x46	0x00	0x9B	0x00	0x12	0x04	0x03	0x02	0x03	0x00	0x06	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	90	55	60	52	35	35	90	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x8AF588	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
56 Wight	0x02F5	0x0341	0x56	0x54	0x47	0x00	0x9C	0x00	0x15	0x07	0x05	0x06	0x05	0x02	0x09	0x06	0x3C	0x18	0x1C	0x1A	0x16	0x17	0x19	0x03	85	45	45	40	35	42	85	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x02	0x00	0xB5	0xB5	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF594	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
57 Wight	0x02F5	0x0341	0x57	0x55	0x48	0x00	0x9C	0x00	0x15	0x06	0x06	0x05	0x05	0x02	0x08	0x06	0x3C	0x19	0x1E	0x1C	0x19	0x17	0x14	0x03	85	50	50	40	35	40	85	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0x00	0xB5	0x00	0x00	0x00	0x00	0x8AF5A4	0x80B849	0x80BC9A	0x80C0AA	0x80C479	0x80C4BA	0x80C4FB	0x00
58 Bael	0x02F6	0x0342	0x58	0x59	0x49	0x00	0x9D	0x00	0x19	0x06	0x03	0x03	0x06	0x01	0x0C	0x05	0x3C	0x1E	0x1C	0x1A	0x1A	0x16	0x19	0x03	102	70	50	40	38	33	102	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF5B0	0x80B94D	0x80BD9E	0x80C1AE	0x80C479	0x80C4BA	0x80C4FB	0x0880C5FF
59 Elder Bael	0x02F7	0x0343	0x59	0x58	0x4A	0x00	0x9E	0x00	0x24	0x08	0x05	0x05	0x09	0x04	0x0F	0x06	0x50	0x1E	0x1C	0x1A	0x1A	0x16	0x19	0x03	105	65	45	40	41	37	105	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF5BC	0x80B94D	0x80BD9E	0x80C1AE	0x80C479	0x80C4BA	0x80C4FB	0x0880C5FF
5A Cyclops	0x02F8	0x0344	0x5A	0x09	0x4B	0x00	0x9F	0x00	0x28	0x08	0x05	0x06	0x0D	0x00	0x10	0x05	0x50	0x1D	0x1D	0x1C	0x1E	0x19	0x19	0x03	115	50	55	45	44	45	115	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0xB5	0x00	0x00	0x00	0x00	0x00	0x8AF5C8	0x80B8CB	0x80BD1C	0x80C12C	0x80C479	0x80C4BA	0x80C4FB	0x00
5B Mauthe Doog	0x02F9	0x0345	0x5B	0x5C	0x4C	0x00	0xA0	0x00	0x10	0x04	0x0A	0x0A	0x02	0x00	0x06	0x07	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	90	55	65	65	35	40	90	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF5E0	0x80BB14	0x80BF65	0x80C375	0x80C479	0x80C4BA	0x80C4FB	0x00
5C Gwyllgi	0x02FA	0x0346	0x5C	0x5B	0x4D	0x00	0xA1	0x00	0x15	0x06	0x0C	0x0C	0x05	0x02	0x08	0x08	0x3C	0x18	0x1D	0x1E	0x16	0x17	0x14	0x03	85	48	55	55	36	42	85	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF5EC	0x80BB55	0x80BFA6	0x80C3B6	0x80C479	0x80C4BA	0x80C4FB	0x00
5D Tarvos	0x02FB	0x0347	0x5D	0x5E	0x4E	0x00	0xA2	0x00	0x15	0x06	0x02	0x05	0x07	0x00	0x0A	0x07	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	100	55	60	48	35	35	100	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x8AF5F8	0x80BB14	0x80BF65	0x80C375	0x80C479	0x80C4BA	0x80C4FB	0x00
5E Maelduin	0x02FC	0x0348	0x5E	0x5D	0x4F	0x00	0xA3	0x00	0x19	0x08	0x04	0x07	0x09	0x03	0x0C	0x08	0x50	0x19	0x1A	0x18	0x19	0x19	0x19	0x03	95	50	50	38	33	40	95	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x00	0x00	0xB5	0xB5	0x00	0x00	0x00	0x00	0x8AF610	0x80BB55	0x80BFA6	0x80C3B6	0x80C479	0x80C4BA	0x80C4FB	0x00
5F Mogall	0x02FD	0x0349	0x5F	0x60	0x50	0x00	0xA4	0x00	0x0F	0x02	0x01	0x02	0x02	0x04	0x04	0x05	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	70	65	52	50	30	48	70	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x8AF62C	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
60 Arch Mogall	0x02FE	0x034A	0x60	0x5F	0x51	0x00	0xA5	0x00	0x11	0x06	0x03	0x03	0x03	0x07	0x05	0x06	0x3C	0x1D	0x1A	0x1A	0x14	0x1D	0x14	0x03	65	75	50	45	30	48	65	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0xB5	0x8AF640	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
61 Gorgon	0x02FF	0x034B	0x61	0x5F	0x52	0x00	0xA6	0x00	0x13	0x08	0x03	0x04	0x05	0x07	0x0B	0x06	0x3C	0x1D	0x1A	0x1A	0x15	0x1C	0x19	0x03	65	80	50	45	30	60	65	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0xB5	0x8AF654	0x80BA10	0x80BE61	0x80C271	0x80C479	0x80C4BA	0x80C4FB	0x00
62 Gorgon Egg	0x0300	0x034C	0x62	0x00	0x53	0x00	0xA6	0x00	0x32	0x00	0x00	0x00	0x0A	0x0A	0x06	0x00	0x3C	0x1E	0x1E	0x1E	0x1E	0x1E	0x1E	0x03	120	20	20	20	20	20	120	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80C479	0x80C4BA	0x80C4FB	0x00
63 Gargoyle	0x0301	0x034D	0x63	0x64	0x54	0x00	0xA7	0x00	0x13	0x06	0x03	0x06	0x06	0x00	0x08	0x06	0x3C	0x14	0x14	0x14	0x14	0x14	0x14	0x03	100	65	55	55	45	35	100	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x47	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF668	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
64 Deathgoyle	0x0302	0x034E	0x64	0x63	0x55	0x00	0xA8	0x00	0x17	0x08	0x05	0x08	0x09	0x01	0x0B	0x07	0x3C	0x1B	0x19	0x17	0x1C	0x16	0x19	0x03	95	60	50	45	40	37	95	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x00	0xB5	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF674	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
65 Draco Zombie	0x0303	0x034F	0x65	0x1F	0x56	0x00	0xA9	0x00	0x35	0x01	0x00	0x01	0x00	0x03	0x19	0x05	0x64	0x32	0x32	0x32	0x32	0x32	0x19	0x03	105	55	40	40	50	30	105	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF680	0x80BB96	0x80BFE7	0x80C3F7	0x80C53C	0x80C57D	0x80C5BE	0x00
66 Demon King	0x0304	0x0350	0x66	0x1F	0x57	0x00	0xAA	0x00	0x78	0x17	0x14	0x12	0x19	0x19	0x19	0x02	0x78	0x32	0x32	0x32	0x32	0x32	0x19	0x05	115	60	50	40	40	40	115	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x04	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x8AF68C	0x80BBD7	0x80BBD7	0x80BBD7	0x80C479	0x80C4BA	0x80C4FB	0x00
67	0x00	0x00	0x67	0x00	0x58	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x03	20	20	20	20	20	30	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80C479	0x80C4BA	0x80C4FB	0x00
68	0x00	0x00	0x68	0x00	0x59	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80C479	0x80C4BA	0x80C4FB	0x00
69	0x00	0x00	0x69	0x00	0x5A	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80C479	0x80C4BA	0x80C4FB	0x00
6A 	0x00	0x00	0x6A	0x00	0x5B	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	20	20	20	20	20	20	20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x80C479	0x80C4BA	0x80C4FB	0x00
