0x0128F5B8	CP	Object type (Plist)	Palette (Plist)	Tile Config (Plist)	Map Pointer (Plist)	Tile Animation 1	Tile Animation 2	Map Changes (Plist)	Fog Level	Enable Battle Prep? (X)	Chapter Title	Chapter title image 2 (X).	Initial coord	B17	Weather	Battle Backgrounds	Difficulty	Player Phase BGM	Enemy Phase BGM	NPC BGM	Player Phase BGM 2 (X)	Enemy Phase BGM 2 (X)	NPC BGM 2 (X)	Player Phase BGM Flag 4	Enemy Phase BGM Flag 4	???	???	???	Destructible Wall HP	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	??	W62	W64	W66	W68	W70	W72	W74	W76	W78	W80	W82	W84	W86	W88	W90	W92	??	D96	D100	D104	D108	Map Name 1	Map Name 2 (X)	Event ID (Plist)	World Map Event	??	B119	B120	B121	??	B123	B124	B125	??	B127	Chapter Number	??	B130	B131	??	B133	VictoryBGM(# Foes Left)	Dark Before Initial Event	Clear Condition	Detailed Clear Condition	Mini-Objective Display	Turns to Defend	Unit to Defend	Withdrawal Point	B144	??	??	??
1C Ch15 Placeholder	0x081C333C	0x2B	0x6A	0x2A	0x28	0x00	0x00	0x00	0x00	0x00	0x1C	0x00	0x0D	0x04	0x00	0x09	0x0244	0x0C	0x14	0x0F	0x0C	0x14	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x017C	0x017C	0x1C	0x1C	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x1E	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B2	0x019E	0x01	0x00	0x00	0xFF	0x00	0x30	0x00	0x00
1D Ch16 Placeholder	0x081C3340	0x21	0x60	0x20	0x1E	0x00	0x00	0x00	0x00	0x00	0x1D	0x00	0x01	0x00	0x00	0x10	0x0244	0x0D	0x15	0x0F	0x0D	0x15	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x017D	0x017D	0x1D	0x1D	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x20	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B3	0x01A1	0x00	0x00	0x00	0xFF	0x00	0x0C	0x00	0x00
1E Ch17 Placeholder	0x081C3344	0x22	0x61	0x21	0x1F	0x00	0x00	0x00	0x00	0x00	0x1E	0x00	0x01	0x00	0x00	0x14	0x0244	0x0D	0x15	0x0F	0x0D	0x15	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x017E	0x017E	0x1E	0x1E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x22	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B4	0x019D	0x03	0x00	0x00	0xFF	0x00	0x18	0x00	0x00
1F Ch18 Placeholder	0x081C3348	0x33	0x72	0x32	0x30	0x00	0x00	0x00	0x00	0x00	0x1F	0x00	0x01	0x1B	0x00	0x02	0x0244	0x0D	0x15	0x0F	0x0D	0x15	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x017F	0x017F	0x1F	0x1F	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x24	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B5	0x019E	0x01	0x00	0x00	0xFF	0x00	0x32	0x00	0x00
20 Ch19 Placeholder	0x081C334C	0x30	0x6F	0x2F	0x2D	0x00	0x00	0x00	0x03	0x00	0x20	0x00	0x11	0x0B	0x00	0x11	0x0244	0x11	0x18	0x11	0x11	0x18	0x11	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0180	0x0180	0x20	0x20	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x26	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B6	0x019C	0x02	0x0E	0xC8	0xFF	0x00	0x0C	0x00	0x00
21 Ch20 Placeholder	0x081C3350	0x2F	0x6E	0x2E	0x2C	0x00	0x00	0x00	0x00	0x00	0x21	0x00	0x0C	0x0C	0x00	0x0D	0x0244	0x0D	0x15	0x0F	0x0D	0x15	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0181	0x0181	0x21	0x21	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x28	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01B7	0x01A0	0x00	0x00	0x00	0xFF	0x00	0x31	0x00	0x00
22 Ch21 Placeholder	0x081C3354	0x31	0x70	0x30	0x2E	0x00	0x00	0x00	0x00	0x00	0x22	0x00	0x0C	0x14	0x00	0x0D	0x0244	0x0E	0x16	0x0F	0x0E	0x16	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0182	0x0182	0x22	0x22	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x2A	0x00	0xFF	0xFF	0x00	0x00	0x00	0x01	0x01B8	0x019D	0x03	0x00	0x00	0xFF	0x00	0x34	0x00	0x00
23 Ch21x Placeholder	0x081C3358	0x32	0x71	0x31	0x2F	0x00	0x00	0x00	0x00	0x00	0x23	0x00	0x0C	0x06	0x00	0x0D	0x0244	0x45	0x16	0x0F	0x45	0x16	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0183	0x0183	0x23	0x23	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x2B	0x00	0xFF	0xFF	0x00	0x00	0x00	0x01	0x01B9	0x019D	0x03	0x00	0x00	0xFF	0x00	0x34	0x00	0x00
24 Ch1 Placeholder	0x081C3360	0x23	0x62	0x22	0x20	0x00	0x00	0x00	0x00	0x00	0x24	0x00	0x01	0x00	0x00	0x0B	0x0234	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0184	0x0184	0x24	0x24	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x02	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
25 Ch2 Placeholder	0x081C3364	0x34	0x73	0x33	0x31	0x00	0x00	0x00	0x00	0x00	0x25	0x00	0x01	0x00	0x00	0x0B	0x0234	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0185	0x0185	0x25	0x25	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x04	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
26 Ch3 Placeholder	0x081C3368	0x35	0x74	0x34	0x32	0x00	0x00	0x00	0x00	0x00	0x26	0x00	0x01	0x00	0x00	0x0B	0x0234	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0186	0x0186	0x26	0x26	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x06	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
27 Ch4 Placeholder	0x081C336C	0x36	0x75	0x35	0x33	0x00	0x00	0x00	0x00	0x00	0x27	0x00	0x01	0x00	0x00	0x0B	0x0234	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0187	0x0187	0x27	0x27	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x08	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
28 Ch5 Placeholder	0x081C3370	0x37	0x76	0x36	0x34	0x00	0x00	0x00	0x00	0x00	0x28	0x00	0x01	0x00	0x00	0x0B	0x0234	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0188	0x0188	0x28	0x28	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x0A	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
29 Ch6 Placeholder	0x081C3374	0x27	0x66	0x26	0x24	0x00	0x00	0x00	0x00	0x00	0x29	0x00	0x01	0x00	0x00	0x0B	0x0234	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0189	0x0189	0x29	0x29	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x0C	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
2A Ch7 Placeholder	0x081C3378	0x26	0x65	0x25	0x23	0x00	0x00	0x00	0x00	0x00	0x2A	0x00	0x01	0x00	0x00	0x0B	0x0234	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x018A	0x018A	0x2A	0x2A	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x0E	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
2B Ch8 Placeholder	0x081C337C	0x3B	0x7A	0x3A	0x38	0x00	0x00	0x00	0x00	0x00	0x2B	0x00	0x01	0x00	0x00	0x0B	0x0234	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x018B	0x018B	0x2B	0x2B	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x10	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
2C  	0x081C3380	0x3A	0x79	0x39	0x37	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x0B	0x0234	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0x32	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x2C	0x2C	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0xFF	0xFF	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0xFF	0x00	0x00	0x00	0x00
2D  	0x081C3380	0x39	0x78	0x38	0x36	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x01	0x00	0x00	0x0B	0x0234	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0xFFFF	0x32	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x2D	0x2D	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0xFF	0xFF	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0xFF	0x00	0x00	0x00	0x00
2E Ch1 Placeholder	0x081C3384	0x38	0x77	0x37	0x35	0x00	0x00	0x00	0x00	0x00	0x2E	0x00	0x01	0x00	0x00	0x0E	0x0244	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x018E	0x018E	0x2E	0x2E	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x02	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
2F Ch2 Placeholder	0x081C3388	0x1F	0x5E	0x1E	0x1C	0x00	0x00	0x00	0x00	0x00	0x2F	0x00	0x01	0x00	0x00	0x0E	0x0244	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x018F	0x018F	0x2F	0x2F	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x04	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
30 Ch3 Placeholder	0x081C338C	0x20	0x5F	0x1F	0x1D	0x00	0x00	0x00	0x00	0x00	0x30	0x00	0x01	0x00	0x00	0x0E	0x0244	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0190	0x0190	0x30	0x30	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x06	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
31 Ch4 Lagdou Ruins 4	0x081C3390	0x2C	0x6B	0x2B	0x29	0x00	0x00	0x00	0x00	0x00	0x31	0x00	0x01	0x00	0x00	0x0E	0x0244	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0191	0x0191	0x31	0x31	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x08	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
32 Ch5 Lagdou Ruins 5	0x081C3394	0x2D	0x6C	0x2C	0x2A	0x00	0x00	0x00	0x00	0x00	0x32	0x00	0x01	0x00	0x00	0x0E	0x0244	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0192	0x0192	0x32	0x32	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x0A	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
33 Ch6 Lagdou Ruins 6	0x081C3398	0x24	0x63	0x23	0x21	0x00	0x00	0x00	0x00	0x00	0x33	0x00	0x01	0x00	0x00	0x0E	0x0244	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0193	0x0193	0x33	0x33	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x0C	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
34 Ch7 Lagdou Ruins 7	0x081C339C	0x25	0x64	0x24	0x22	0x00	0x00	0x00	0x00	0x00	0x34	0x00	0x01	0x00	0x00	0x0E	0x0244	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0194	0x0194	0x34	0x34	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x0E	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
35 Ch8 Lagdou Ruins 8	0x081C33A0	0x3C	0x7B	0x3B	0x39	0x00	0x00	0x00	0x00	0x00	0x35	0x00	0x01	0x00	0x00	0x0E	0x0244	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0195	0x0195	0x35	0x35	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x10	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
36 Ch9 Lagdou Ruins 9	0x081C33A4	0x3D	0x7C	0x3C	0x3A	0x00	0x00	0x00	0x00	0x00	0x36	0x00	0x01	0x00	0x00	0x02	0x0244	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0196	0x0196	0x36	0x36	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x12	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
37 Ch10 Lagdou Ruins 10	0x081C33A8	0x28	0x67	0x27	0x25	0x00	0x00	0x00	0x00	0x00	0x37	0x00	0x01	0x00	0x00	0x0E	0x0244	0x12	0x17	0x0F	0x12	0x17	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0197	0x0197	0x37	0x37	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x14	0x00	0xFF	0xFF	0x00	0x00	0x01	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
38  Castle Frelia	0x081C33AC	0x01	0x02	0x01	0x00	0x00	0x00	0x00	0x00	0x00	0x38	0x00	0x01	0x00	0x00	0x0E	0x0234	0x09	0x13	0x0F	0x09	0x13	0x0F	0xFFFF	0xFFFF	0x0B	0xFFFF	0xFFFF	0x32	0x05	0x05	0x05	0x05	0x06	0x06	0x06	0x06	0x07	0x07	0x07	0x07	0x08	0x08	0x08	0x08	0x00	0x64	0x64	0x64	0x64	0x50	0x50	0x50	0x50	0x3C	0x3C	0x3C	0x3C	0x28	0x28	0x28	0x28	0x00	0x0424	0x0424	0x0424	0x0424	0x0198	0x0198	0x38	0x38	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0x00	0xFF	0xFF	0x00	0x00	0x00	0x01	0x01C0	0x019E	0x01	0x00	0x00	0xFF	0x00	0x09	0x00	0x00
