INLINE NewClassTable,Name,Description,ID,Default Class Promoted From/To,Standing Map Anims,Move Speed,Generic Mug,N/A,HP,Atk,Skl,Spd,Def,Res,Con,Mov,HP Cap,Atk Cap,Skl Cap,Spd Cap,Def Cap,Res Cap,Con Cap,Class Relative Power,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,HP Promo Gain,Atk Promo Gain,Skl Promo Gain,Spd Promo Gain,Def Promo Gain,Res Promo Gain,CharClassAbility,CharClassAbility,CharClassAbility,CharClassAbility,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,Battle Anims,Move Costs,Rain Move Costs,Snow Move Costs,Avo Bonus,Def Bonus,Res Bonus,Class Type
ParasectID,0x105C,0x105B,0x33,0x0,ParasectSMS,0x00,0x2F,0x33,21,10,6,1,4,4,10,BaseMov+2,60,45,40,10,40,40,25,4,65,55,45,5,40,40,20,4,4,2,1,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim47|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x8800
GorgonEggID,0x0300,0x034C,0x34,0x0,GorgonEggSMS,0x00,0x30,0x34,15,0,1,0,0,0,6,0,35,10,15,10,10,10,25,3,40,5,20,5,5,5,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,0x00,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
VenonatID,0x105E,0x105F,0x35,0x0,VenonatSMS,0x00,0x30,0x35,18,6,4,3,2,2,4,BaseMov+1,50,35,35,35,25,25,25,3,55,35,40,40,20,25,20,3,6,3,3,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim48|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x8010
VenomothID,0x1060,0x105F,0x36,0x0,VenomothSMS,0x00,0x31,0x36,21,6,7,6,3,5,9,BaseMov+2,60,40,45,45,30,40,25,4,65,40,45,50,20,35,20,3,0,3,3,1,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim49|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x8010
DiglettID,0x1062,0x1035,0x37,0x0,DiglettSMS,0x00,0x32,0x37,15,4,3,4,0,2,3,BaseMov+1,35,30,30,40,10,25,25,3,35,30,35,60,5,20,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim50|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x20
DugtrioID,0x1064,0x1035,0x38,0x0,DugtrioSMS,0x00,0x33,0x38,17,10,6,8,2,4,8,BaseMov+2,45,45,40,50,25,40,25,4,45,55,45,75,15,35,20,2,6,3,4,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim51|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x20
MeowthID,0x1066,0x1025,0x39,0x0,MeowthSMS,0x00,0x34,0x39,15,6,3,5,1,1,4,BaseMov+1,35,35,35,40,15,20,25,3,40,40,35,65,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim52|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0200
PersianID,0x1068,0x1025,0x3A,0x0,PersianSMS,0x00,0x35,0x3A,20,8,6,9,3,3,9,BaseMov+2,55,40,45,50,30,35,25,4,60,50,45,75,25,25,20,5,2,3,4,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim53|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0200
PsyduckID,0x106A,0x100D,0x3B,0x0,PsyduckSMS,0x00,0x36,0x3B,18,4,4,2,2,2,4,BaseMov+1,50,35,35,30,30,30,25,3,55,30,40,25,25,25,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim54|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
GolduckID,0x106C,0x100D,0x3C,0x0,GolduckSMS,0x00,0x37,0x3C,23,8,8,6,5,5,10,BaseMov+2,65,40,45,45,40,40,25,4,70,50,50,40,35,35,20,5,4,4,4,3,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim55|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
MankeyID,0x106E,0x106F,0x3D,0x0,MankeySMS,0x00,0x38,0x3D,17,6,3,4,1,2,5,BaseMov+1,45,35,30,35,15,25,25,3,50,40,35,50,15,20,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim56|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x08
PrimeapeID,0x1070,0x106F,0x3E,0x0,PrimeapeSMS,0x00,0x39,0x3E,20,13,7,7,3,4,17,BaseMov+2,55,45,45,45,30,35,25,4,60,60,45,55,25,30,20,3,7,4,3,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim57|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x08
GrowlitheID,0x1072,0x1007,0x3F,0x0,GrowlitheSMS,0x00,0x3A,0x3F,18,6,4,3,2,2,4,BaseMov+1,50,35,35,35,25,25,25,3,55,35,40,40,20,25,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim58|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x01
ArcanineID,0x1074,0x1007,0x40,0x0,ArcanineSMS,0x00,0x3B,0x40,26,14,10,7,5,5,12,BaseMov+2,75,55,55,50,40,40,25,4,85,70,55,45,35,35,20,8,8,6,4,3,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim59|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x01
PoliwagID,0x1076,0x100D,0x41,0x0,PoliwagSMS,0x00,0x3C,0x41,15,4,3,5,1,1,4,BaseMov+1,35,30,35,35,20,20,25,3,40,30,35,65,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim60|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
PoliwhirlID,0x1078,0x100D,0x42,0x0,PoliwhirlSMS,0x00,0x3D,0x42,20,7,5,5,3,2,12,BaseMov+2,55,40,40,40,35,25,25,4,60,45,40,45,30,20,20,5,3,2,0,2,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim61|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
PoliwrathID,0x107A,0x107B,0x43,0x0,PoliwrathSMS,0x00,0x3E,0x43,26,13,9,5,6,5,21,BaseMov+2,75,50,50,40,45,40,25,5,85,65,55,35,40,35,20,6,6,4,0,3,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim62|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x0A
AbraID,0x107C,0x107D,0x44,0x0,AbraSMS,0x00,0x3F,0x44,15,1,4,5,0,4,4,BaseMov+1,35,15,35,40,10,35,25,3,35,15,35,65,0,55,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim63|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x4000
KadabraID,0x107E,0x107D,0x45,0x0,KadabraSMS,0x00,0x40,0x45,17,3,5,8,1,5,8,BaseMov+2,45,20,40,45,10,40,25,4,45,25,40,75,5,45,20,2,2,1,3,1,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim64|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x4000
AlakazamID,0x1080,0x107D,0x46,0x0,AlakazamSMS,0x00,0x41,0x46,20,5,8,12,2,7,11,BaseMov+2,55,30,50,55,20,45,25,5,60,35,50,80,10,50,20,3,2,3,4,1,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim65|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x4000
MachopID,0x1082,0x106F,0x47,0x0,MachopSMS,0x00,0x42,0x47,21,7,3,2,3,1,9,BaseMov+1,55,35,35,25,30,15,25,3,75,45,35,20,35,10,20,1,2,0,0,1,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim66|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x08
MachokeID,0x1084,0x106F,0x48,0x0,MachokeSMS,0x00,0x43,0x48,24,11,6,2,5,3,13,BaseMov+2,65,45,40,25,40,30,25,4,80,60,45,20,45,25,20,3,4,3,0,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim67|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x08
MachampID,0x1086,0x106F,0x49,0x0,MachampSMS,0x00,0x44,0x49,26,18,10,3,6,6,21,BaseMov+2,75,60,50,30,45,45,25,5,85,80,55,25,45,40,20,2,7,4,1,1,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim68|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x08
BellsproutID,0x1088,0x1003,0x4A,0x0,BellsproutSMS,0x00,0x45,0x4A,16,6,3,2,1,1,4,BaseMov+1,40,35,30,30,15,15,25,3,45,40,35,30,15,10,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim69|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0810
WeepinbellID,0x108A,0x1003,0x4B,0x0,WeepinbellSMS,0x00,0x46,0x4B,19,9,5,4,2,2,8,BaseMov+2,50,40,40,35,25,20,25,4,55,55,40,35,20,15,20,3,3,2,2,1,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim70|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0810
VictreebelID,0x108C,0x1003,0x4C,0x0,VictreebelSMS,0x00,0x47,0x4C,23,13,8,6,3,4,12,BaseMov+2,65,50,45,45,30,35,25,5,70,60,50,40,25,25,20,4,4,3,2,1,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim71|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0810
TentacoolID,0x108E,0x108F,0x4D,0x0,TentacoolSMS,0x00,0x48,0x4D,19,3,4,4,1,3,4,BaseMov+1,50,25,35,35,15,35,25,3,60,25,40,45,10,35,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim72|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x12
TentacruelID,0x1090,0x108F,0x4E,0x0,TentacruelSMS,0x00,0x49,0x4E,26,6,8,8,3,5,13,BaseMov+2,75,35,50,50,30,40,25,4,85,45,50,55,25,35,20,7,3,4,4,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim73|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x12
GeodudeID,0x1092,0x1093,0x4F,0x0,GeodudeSMS,0x00,0x4A,0x4F,20,6,3,1,4,0,8,BaseMov+1,55,35,30,15,40,10,25,3,70,40,35,10,60,5,20,0,0,0,0,1,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim74|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0xA0
GravellerID,0x1094,0x1093,0x50,0x0,GravellerSMS,0x00,0x4B,0x50,21,9,5,2,7,1,11,BaseMov+2,60,40,40,20,45,15,25,4,70,55,40,15,70,10,20,1,3,2,1,3,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim75|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0xA0
PhantomID,0x02F1,0x033D,0x51,0x0,PhantomSMS,0x00,0x00,0x51,16,1,1,1,1,1,11,BaseMov+1,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
GolemID,0x1096,0x1093,0x52,0x0,GolemSMS,0x00,0x4C,0x52,28,15,8,3,11,2,15,BaseMov+2,75,50,45,30,50,25,25,5,90,65,50,20,80,15,20,7,6,3,1,4,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim76|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0xA0
PonytaID,0x1098,0x1007,0x53,0x0,PonytaSMS,0x00,0x4D,0x53,20,7,5,6,2,2,10,BaseMov+2,55,40,40,40,20,25,25,3,65,45,40,60,15,20,20,0,0,0,3,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim77|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x01
RapidashID,0x109A,0x1007,0x54,0x0,RapidashSMS,0x00,0x4E,0x54,23,11,8,9,3,5,14,BaseMov+3,65,50,50,50,30,40,25,4,70,60,50,60,25,30,20,3,4,3,3,1,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim78|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x01
SlowpokeID,0x109C,0x109F,0x55,0x0,SlowpokeSMS,0x00,0x4F,0x55,25,5,3,0,3,1,4,BaseMov+1,70,35,35,10,30,20,25,3,95,35,35,0,35,15,20,2,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim79|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x4002
SlowbroID,0x109E,0x109F,0x56,0x0,SlowbroSMS,0x00,0x50,0x56,28,6,7,0,10,4,11,BaseMov+2,75,40,45,10,50,40,25,4,95,45,45,0,70,35,20,3,1,4,0,7,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim80|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x4002
MagnemiteID,0x10A0,0x10A1,0x57,0x0,MagnemiteSMS,0x00,0x51,0x57,18,1,3,3,3,2,3,BaseMov+1,50,15,35,35,35,30,25,3,55,15,35,35,40,30,20,0,0,0,3,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim81|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x2004
MagnetonID,0x10A2,0x10A1,0x58,0x0,MagnetonSMS,0x00,0x52,0x58,24,4,7,6,6,3,10,BaseMov+2,65,25,45,45,45,30,25,4,75,30,45,40,45,20,20,6,3,4,3,3,1,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim82|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x2004
FarfetchdID,0x10A4,0x101F,0x59,0x0,FarfetchdSMS,0x00,0x53,0x59,22,11,6,4,2,3,8,BaseMov+2,60,45,40,35,25,35,25,4,70,60,45,35,20,25,20,0,7,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim83|IsPointer,FlierMov|IsPointer,FlierRainMov|IsPointer,FlierSnowMov|IsPointer,FlierAvoBon|IsPointer,FlierDefBon|IsPointer,FlierResBon|IsPointer,0x0240
DoduoID,0x10A6,0x101F,0x5A,0x0,DoduoSMS,0x00,0x54,0x5A,19,6,4,5,2,1,6,BaseMov+1,50,35,35,40,25,20,25,3,60,40,40,65,20,15,20,0,0,0,1,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim84|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0240
DodrioID,0x10A8,0x101F,0x5B,0x0,DodrioSMS,0x00,0x55,0x5B,23,11,7,10,4,3,12,BaseMov+3,65,45,45,50,35,30,25,4,70,60,45,70,30,20,20,4,5,3,5,2,2,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim85|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x0240
SeelID,0x10AA,0x10AB,0x5C,0x0,SeelSMS,0x00,0x56,0x5C,20,4,4,3,2,2,10,BaseMov+1,55,35,35,35,25,30,25,3,65,30,40,30,20,25,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim86|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x02
DewgongID,0x10AC,0x10AB,0x5D,0x0,DewgongSMS,0x00,0x57,0x5D,25,7,7,4,4,5,14,BaseMov+2,70,40,45,40,40,40,25,4,80,45,45,35,35,40,20,5,3,3,1,2,3,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim87|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x1002
GrimerID,0x10AE,0x102D,0x5E,0x0,GrimerSMS,0x00,0x58,0x5E,23,9,5,1,2,3,6,BaseMov+1,60,40,35,15,25,35,25,3,75,55,40,10,20,35,20,0,2,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,anim88|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x10
CutBushID,NSlashAText,NSlashAText,0x5F,0x0,CutBushSMS,0x00,0x00,0x5F,16,1,1,1,1,1,10,BaseMov+1,35,15,20,15,15,15,25,4,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
RockSmashID,NSlashAText,NSlashAText,0x60,0x0,RockSmashSMS,0x00,0x00,0x60,16,1,1,1,1,1,5,BaseMov+2,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x00
StrengthBoulderID,NSlashAText,NSlashAText,0x61,0x0,StrengthBoulderSMS,0x00,0x00,0x61,16,1,1,1,1,1,11,BaseMov+2,35,15,20,15,15,15,25,4,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,SwimmerMov|IsPointer,SwimmerRainMov|IsPointer,SwimmerSnowMov|IsPointer,SwimmerAvoBon|IsPointer,SwimmerDefBon|IsPointer,SwimmerResBon|IsPointer,0x00
GorgonEgg2ID,NSlashAText,NSlashAText,0x62,0x0,GorgonEgg2SMS,0x00,0x00,0x62,16,1,1,1,1,1,6,1,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,0x00,0x00,0x00,0x00,0x00,0x00,0x00
GreenID,NSlashAText,NSlashAText,0x63,0x0,GreenSMS,0x00,179,0x63,16,1,1,1,1,1,8,BaseMov+2,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
DeathgoyleID,NSlashAText,NSlashAText,0x64,0x0,DeathgoyleSMS,0x00,0x00,0x64,16,1,1,1,1,1,11,BaseMov+3,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
DracoZombieID,NSlashAText,NSlashAText,0x65,0x0,DracoZombieSMS,0x00,0x00,0x65,16,1,1,1,1,1,0,1,35,15,20,15,15,15,25,3,45,5,25,15,15,15,20,0,0,0,0,0,0,0x00,0x00,0x00,0x00,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,animAnyClass|IsPointer,NormMov|IsPointer,NormRainMov|IsPointer,NormSnowMov|IsPointer,NormAvoBon|IsPointer,NormDefBon|IsPointer,NormResBon|IsPointer,0x00
